borrow_hours_bin,hourly_duration_flow
0-1小时,940728
1-2小时,121066
2-3小时,3665
3-4小时,979
4-5小时,430
5-6小时,197
6-7小时,151
7-8小时,117
8-9小时,80
9-10小时,68
10-11小时,53
11-12小时,31
12-13小时,31
13-14小时,41
14-15小时,39
15-16小时,36
16-17小时,36
17-18小时,32
18-19小时,41
19-20小时,30
20-21小时,31
21-22小时,40
22-23小时,25
23-24小时,36
